"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-60.83109,11.182233,NA,"Acanthurus chirurgus"
"gbif",-60.828687,11.183936,NA,"Acanthurus chirurgus"
"gbif",-86.779704,21.0349,NA,"Acanthurus chirurgus"
"gbif",-74.535679,24.08414,NA,"Acanthurus chirurgus"
"gbif",-74.744359,39.031216,NA,"Acanthurus chirurgus"
"gbif",-81.276861,23.14045,NA,"Acanthurus chirurgus"
"gbif",-75.743478,10.184952,NA,"Acanthurus chirurgus"
"gbif",-80.042379,26.782592,NA,"Acanthurus chirurgus"
"gbif",-82.033059,9.253034,NA,"Acanthurus chirurgus"
"gbif",-68.843832,18.36806,NA,"Acanthurus chirurgus"
"gbif",-77.166677,18.434406,NA,"Acanthurus chirurgus"
"gbif",-70.052554,12.6036,NA,"Acanthurus chirurgus"
"gbif",-80.090629,26.191436,NA,"Acanthurus chirurgus"
"gbif",-80.091019,26.194917,NA,"Acanthurus chirurgus"
"gbif",-88.061673,16.898333,NA,"Acanthurus chirurgus"
"gbif",-32.441254,-3.850959,NA,"Acanthurus chirurgus"
"gbif",-32.441566,-3.851506,NA,"Acanthurus chirurgus"
"gbif",-32.402613,-3.835649,NA,"Acanthurus chirurgus"
"gbif",-32.403988,-3.836518,NA,"Acanthurus chirurgus"
"gbif",-87.040837,20.39934,NA,"Acanthurus chirurgus"
"gbif",-60.89917,14.4475,NA,"Acanthurus chirurgus"
"gbif",-73.959454,11.324083,NA,"Acanthurus chirurgus"
"gbif",-61.082126,14.491547,NA,"Acanthurus chirurgus"
"gbif",-80.043012,26.782235,NA,"Acanthurus chirurgus"
"gbif",-80.042143,26.781929,NA,"Acanthurus chirurgus"
"gbif",-80.04137,26.782532,NA,"Acanthurus chirurgus"
"gbif",-87.702826,18.718537,NA,"Acanthurus chirurgus"
"gbif",-64.823122,32.250126,NA,"Acanthurus chirurgus"
"gbif",-32.407393,-3.83345,NA,"Acanthurus chirurgus"
"gbif",-32.405677,-3.833792,NA,"Acanthurus chirurgus"
"gbif",-32.404647,-3.832422,NA,"Acanthurus chirurgus"
"gbif",-96.053137,19.222126,NA,"Acanthurus chirurgus"
"gbif",-66.079497,18.474272,NA,"Acanthurus chirurgus"
"gbif",-81.404835,19.390478,NA,"Acanthurus chirurgus"
"gbif",-81.404881,19.39052,NA,"Acanthurus chirurgus"
"gbif",-68.291252,12.121405,NA,"Acanthurus chirurgus"
"gbif",-38.982603,-16.399661,NA,"Acanthurus chirurgus"
"gbif",-82.666439,9.640808,NA,"Acanthurus chirurgus"
"gbif",-68.262041,12.033552,NA,"Acanthurus chirurgus"
"gbif",-68.231536,12.093229,NA,"Acanthurus chirurgus"
"gbif",-68.268358,12.045965,NA,"Acanthurus chirurgus"
"gbif",-32.402375,-3.835009,NA,"Acanthurus chirurgus"
"gbif",-73.965292,11.330008,NA,"Acanthurus chirurgus"
"gbif",-76.63781,25.497398,NA,"Acanthurus chirurgus"
"gbif",-76.638627,25.497709,NA,"Acanthurus chirurgus"
"gbif",-61.17809,14.735413,NA,"Acanthurus chirurgus"
"gbif",-87.05488,20.403412,NA,"Acanthurus chirurgus"
"gbif",-61.08298,14.489723,NA,"Acanthurus chirurgus"
"gbif",-80.042795,26.78258,NA,"Acanthurus chirurgus"
"gbif",-87.026111,20.343889,NA,"Acanthurus chirurgus"
"gbif",-87.024575,20.39949,NA,"Acanthurus chirurgus"
"gbif",-87.295893,20.428599,NA,"Acanthurus chirurgus"
"gbif",-80.191465,26.510853,NA,"Acanthurus chirurgus"
"gbif",-88.061889,16.897107,NA,"Acanthurus chirurgus"
"gbif",-82.873382,24.626028,NA,"Acanthurus chirurgus"
"gbif",-77.669586,24.28001,NA,"Acanthurus chirurgus"
"gbif",-82.712703,9.643151,NA,"Acanthurus chirurgus"
"gbif",-78.032493,18.153964,NA,"Acanthurus chirurgus"
"gbif",-35.362831,-5.209725,1,"Acanthurus chirurgus"
"gbif",-35.362831,-5.209725,0.9,"Acanthurus chirurgus"
"gbif",-35.362831,-5.209725,0.8,"Acanthurus chirurgus"
"gbif",-35.362831,-5.209725,2,"Acanthurus chirurgus"
"gbif",-35.362831,-5.209725,1.5,"Acanthurus chirurgus"
"gbif",-35.362831,-5.209725,2.5,"Acanthurus chirurgus"
"gbif",-35.362831,-5.209725,6,"Acanthurus chirurgus"
"gbif",-35.345472,-5.2206,2,"Acanthurus chirurgus"
"gbif",-35.345472,-5.2206,1,"Acanthurus chirurgus"
"gbif",-80.042127,26.545555,NA,"Acanthurus chirurgus"
"gbif",-80.109244,26.058081,NA,"Acanthurus chirurgus"
"gbif",-81.275625,24.656704,NA,"Acanthurus chirurgus"
"gbif",-80.043453,26.782098,NA,"Acanthurus chirurgus"
"gbif",-80.748733,24.844408,NA,"Acanthurus chirurgus"
"gbif",-88.022089,17.754043,NA,"Acanthurus chirurgus"
"gbif",-61.078684,13.86633,NA,"Acanthurus chirurgus"
"gbif",-61.79083,16.16889,NA,"Acanthurus chirurgus"
"gbif",-68.236126,12.093142,NA,"Acanthurus chirurgus"
"gbif",-80.093595,26.189316,NA,"Acanthurus chirurgus"
"gbif",-65.644183,18.378519,NA,"Acanthurus chirurgus"
"gbif",-80.043472,26.785228,NA,"Acanthurus chirurgus"
"gbif",-68.294922,12.115324,NA,"Acanthurus chirurgus"
"gbif",-80.110467,26.070333,NA,"Acanthurus chirurgus"
"gbif",-82.215026,9.315267,NA,"Acanthurus chirurgus"
"gbif",-82.202249,9.326706,NA,"Acanthurus chirurgus"
"gbif",-88.06182,16.897333,NA,"Acanthurus chirurgus"
"gbif",-68.295095,12.115527,NA,"Acanthurus chirurgus"
"gbif",-80.160105,25.667798,NA,"Acanthurus chirurgus"
"gbif",-87.315901,20.395973,NA,"Acanthurus chirurgus"
"gbif",-61.09098,14.49693,NA,"Acanthurus chirurgus"
"gbif",-80.042805,26.77365,NA,"Acanthurus chirurgus"
"gbif",-69.17945,19.298655,NA,"Acanthurus chirurgus"
"gbif",-80.979445,24.986745,NA,"Acanthurus chirurgus"
"gbif",-80.042519,26.781456,NA,"Acanthurus chirurgus"
"gbif",-61.689388,17.099652,NA,"Acanthurus chirurgus"
"gbif",-64.737559,32.322947,NA,"Acanthurus chirurgus"
"gbif",-75.59368,10.328717,NA,"Acanthurus chirurgus"
"gbif",-86.970942,20.4893,NA,"Acanthurus chirurgus"
"gbif",-64.865808,18.349919,NA,"Acanthurus chirurgus"
"gbif",-82.257751,9.351313,NA,"Acanthurus chirurgus"
"gbif",-72.221132,21.786264,NA,"Acanthurus chirurgus"
